ID	Pe	Time	Y
64	64	6	54.5261235
65	65	6	57.9647902
66	66	6	51.1724568
67	67	6	31.9067902
68	68	6	30.7411235
69	69	6	54.0511235
70	70	6	52.2684568
71	71	6	36.5127902
72	72	6	37.2847902
73	73	6	41.4511235
74	74	6	60.6161235
75	75	6	48.8812902
76	76	6	35.8161235
77	77	6	52.4401235
78	78	6	31.5261235
79	79	6	34.7069568
80	80	6	37.8301235
81	81	6	47.9394568
82	82	6	34.5151235
83	83	6	55.6004568
84	84	6	40.4844568
85	85	6	34.5051235
86	86	6	36.8177902
87	87	6	46.3517902
88	88	6	34.0194568
89	89	6	31.7421235
1	1	7	62.298537
2	2	7	45.0208703
3	3	7	40.005537
4	4	7	38.0802036
5	5	7	37.682537
6	6	7	50.5602036
7	7	7	37.2433703
8	8	7	47.1588703
9	9	7	59.5097036
10	10	7	46.7688703
11	11	7	47.391537
12	12	7	63.5852036
13	13	7	45.7608703
14	14	7	59.4122036
15	15	7	38.455037
16	16	7	48.2702036
17	17	7	63.5778703
18	18	7	35.5262036
19	19	7	37.5252036
20	20	7	53.2912036
21	21	7	61.851537
22	22	7	59.164537
23	23	7	57.6762036
24	24	7	52.1752036
25	25	7	59.3383703
26	26	7	49.790537
27	27	7	44.280037
28	28	7	40.378037
29	29	7	69.137037
30	30	7	75.357537
31	31	7	36.1168703
32	32	7	42.520537
33	33	7	72.505537
34	34	7	47.5042036
35	35	7	45.8382036
36	36	7	54.425037
37	37	7	46.0643703
38	38	7	58.470537
39	39	7	34.1008703
40	40	7	48.2602036
41	41	7	52.9868703
42	42	7	55.2742036
43	43	7	64.1018703
44	44	7	49.3143703
45	45	7	63.4412036
46	46	7	48.0522036
47	47	7	49.1178703
48	48	7	66.4163703
49	49	7	50.3417036
50	50	7	49.330537
51	51	7	48.5588703
52	52	7	63.6388703
53	53	7	60.6332036
54	54	7	54.679037
55	55	7	65.8332036
56	56	7	46.3492036
57	57	7	37.168537
58	58	7	51.170537
59	59	7	44.324537
60	60	7	51.403537
61	61	7	40.6918703
62	62	7	45.4812036
63	63	7	49.9068703
64	64	7	65.303537
65	65	7	68.6278703
66	66	7	60.7442036
67	67	7	39.0807036
68	68	7	37.470537
69	69	7	62.0342036
70	70	7	63.730537
71	71	7	44.5088703
72	72	7	45.703537
73	73	7	52.5948703
74	74	7	71.183537
75	75	7	60.0278703
76	76	7	42.579537
77	77	7	64.484537
78	78	7	37.905537
79	79	7	46.4882036
80	80	7	46.6182036
81	81	7	58.005037
82	82	7	43.2938703
83	83	7	71.306537
84	84	7	51.2498703
85	85	7	41.2622036
86	86	7	44.1662036
87	87	7	53.658537
88	88	7	40.8003703
89	89	7	39.2892036
1	1	8	72.0590186
2	2	8	60.1323519
3	3	8	53.5343519
4	4	8	48.3510186
5	5	8	48.9443519
6	6	8	66.3093519
7	7	8	43.5606853
8	8	8	58.8901853
9	9	8	71.0325186
10	10	8	60.9680186
11	11	8	58.6466853
12	12	8	78.4346853
13	13	8	57.2246853
14	14	8	75.0963519
15	15	8	47.1078519
16	16	8	62.9383519
17	17	8	80.1286853
18	18	8	44.7350186
19	19	8	48.2343519
20	20	8	65.8320186
21	21	8	80.6486853
22	22	8	76.4265186
23	23	8	75.8953519
24	24	8	65.4055186
25	25	8	78.1905186
26	26	8	64.6693519
27	27	8	53.7385186
28	28	8	49.6056853
29	29	8	91.3945186
